Arxiu,Data,Tipus,Durada(min),Dist(km),Desnivell(m),FCMitja,FCMax,Z1(min),Z2(min),Z3(min),Z4(min),Z5(min),PTE,EPOC,Carrega,Calories,Recup(h),Ritme(min/km),Cadencia(spm),Num_Series,Ritme_Mitja_Series,Consistencia_Ritme,FC_Mitja_Series,FC_Max_Mitja_Series,Cadencia_Mitja_Series,Series_Detall
260125_running_cursa,25/01/2026,CURSA,56.4,10.11,95,177,197,0.0,0.5,3.9,47.1,5.0,5.0,275.2,410.5,1098,55.1,5.6,161.0,,,,,,,
260127_running_z2,27/01/2026,Z2,51.5,6.0,35,152,169,0.0,33.8,17.6,0.0,0.0,3.8,71.8,53.5,726,20.9,8.58,147.0,,,,,,,
260130_running_qualitat_intervals,30/01/2026,INTERVALS,40.9,6.53,42,172,198,0.0,3.7,13.5,12.4,11.2,5.0,185.1,244.4,770,31.3,6.3,154.0,4.0,5.03,0.2,182.5,191.75,171.0,"[{""dist_m"": 1002, ""dur_min"": 4.7, ""ritme"": 4.73, ""fc_mitja"": 183, ""fc_max"": 198, ""cadencia"": 177, ""serie"": 1}, {""dist_m"": 1001, ""dur_min"": 5.1, ""ritme"": 5.08, ""fc_mitja"": 183, ""fc_max"": 190, ""cadencia"": 171, ""serie"": 2}, {""dist_m"": 1001, ""dur_min"": 5.1, ""ritme"": 5.1, ""fc_mitja"": 180, ""fc_max"": 189, ""cadencia"": 171, ""serie"": 3}, {""dist_m"": 1020, ""dur_min"": 5.3, ""ritme"": 5.19, ""fc_mitja"": 184, ""fc_max"": 190, ""cadencia"": 165, ""serie"": 4}]"
260131_hiking,31/01/2026,HIKING,119.4,7.0,223,94,150,100.7,18.7,0.0,0.0,0.0,2.2,14.7,16.7,603,6.0,,,,,,,,,
260202_força,02/02/2026,FORÇA,34.4,0.0,0,113,157,26.1,8.1,0.2,0.0,0.0,2.0,10.9,20.1,276,2.7,,,,,,,,,
260208_bici_estatica,08/02/2026,BICI ESTÀTICA,41.8,0.0,0,117,129,34.9,6.1,0.0,0.0,0.0,2.1,12.4,12.4,377,4.0,,,,,,,,,
260213_força,13/02/2026,FORÇA,33.6,0.0,0,127,161,14.4,17.8,1.4,0.0,0.0,2.6,24.0,31.8,349,6.0,,,,,,,,,
260214_bici_estatica,14/02/2026,BICI ESTÀTICA,53.6,0.0,0,141,172,8.2,32.3,12.5,0.5,0.0,3.7,62.0,97.8,685,18.4,,,,,,,,,
260215_running_z2,15/02/2026,Z2,53.5,5.57,11,150,169,0.5,20.7,25.9,0.0,0.0,4.2,83.4,51.7,714,21.7,8.43,147.0,,,,,,,
260216_padel,16/02/2026,PADEL,55.5,0.0,0,148,204,0.4,34.6,15.0,2.3,3.2,4.1,74.1,134.1,722,23.7,,,,,,,,,
260218_running_qualitat_tempo,18/02/2026,TEMPO,59.4,8.56,47,163,193,0.0,9.8,32.3,15.9,1.4,5.0,123.2,207.3,916,36.9,6.92,160.0,1.0,5.83,0.0,173.0,193.0,166.0,"[{""dist_m"": 3431, ""dur_min"": 20.0, ""ritme"": 5.83, ""fc_mitja"": 173, ""fc_max"": 193, ""cadencia"": 166, ""serie"": 1}]"
260220_força,20/02/2026,FORÇA,34.3,0.0,0,116,152,24.1,10.1,0.0,0.0,0.0,2.1,12.1,15.7,279,3.6,,,,,,,,,
260221_running_tirada_llarga,21/02/2026,LLARGA,99.5,11.26,293,151,190,0.0,64.3,32.7,2.3,0.2,4.1,75.7,114.8,1281,47.4,8.83,133.0,,,,,,,
260222_running_z2,22/02/2026,Z2,46.7,5.61,13,150,172,0.0,35.0,11.6,0.1,0.0,3.8,66.8,59.3,619,18.3,8.32,151.0,,,,,,,
260224_força,24/02/2026,FORÇA,34.3,0.0,0,117,145,21.9,12.4,0.0,0.0,0.0,2.2,14.8,28.2,287,4.2,,,,,,,,,
